mass_A
t	x	y
3,080000000E0	5,293886233E-1	2,667804375E-1
3,090000000E0	5,277834020E-1	2,638714251E-1
3,100000000E0	5,251139060E-1	2,610503863E-1
3,110000000E0	5,221893134E-1	2,578863576E-1
3,120000000E0	5,193618307E-1	2,539575198E-1
3,130000000E0	5,157540708E-1	2,499007128E-1
3,140000000E0	5,122991795E-1	2,444198478E-1
3,150000000E0	5,077490481E-1	2,393245543E-1
3,160000000E0	5,030700545E-1	2,343386557E-1
3,170000000E0	4,980555072E-1	2,282798785E-1
3,180000000E0	4,926820486E-1	2,218679153E-1
3,190000000E0	4,864139549E-1	2,157078135E-1
3,200000000E0	4,801007300E-1	2,088167285E-1
3,210000000E0	4,728769137E-1	2,014144369E-1
3,220000000E0	4,658646719E-1	1,939274139E-1
3,230000000E0	4,577455281E-1	1,861896469E-1
3,240000000E0	4,499171741E-1	1,779274522E-1
3,250000000E0	4,405224583E-1	1,704856160E-1
3,260000000E0	4,313945873E-1	1,619732705E-1
3,270000000E0	4,218537037E-1	1,537273080E-1
3,280000000E0	4,113683301E-1	1,467754819E-1
3,290000000E0	4,007771976E-1	1,375895491E-1
3,300000000E0	3,892860634E-1	1,281574142E-1
3,310000000E0	3,775497253E-1	1,197575293E-1
3,320000000E0	3,652340758E-1	1,113037587E-1
3,330000000E0	3,523832962E-1	1,031208386E-1
3,340000000E0	3,387712069E-1	9,518003990E-2
3,350000000E0	3,247971292E-1	8,754754084E-2
3,360000000E0	3,104256911E-1	7,980393709E-2
3,370000000E0	2,953607155E-1	7,329648959E-2
3,380000000E0	2,804181103E-1	6,460874577E-2
3,390000000E0	2,647214594E-1	5,784596524E-2
3,400000000E0	2,485467327E-1	5,165062851E-2
3,410000000E0	2,326067422E-1	4,532261443E-2
3,420000000E0	2,156872991E-1	3,949924609E-2
3,430000000E0	1,981254141E-1	3,428517885E-2
3,440000000E0	1,801287813E-1	2,941637491E-2
3,450000000E0	1,621534625E-1	2,516312159E-2
3,460000000E0	1,437968565E-1	2,114491326E-2
3,470000000E0	1,250177377E-1	1,795171278E-2
3,480000000E0	1,069593752E-1	1,546506901E-2
3,490000000E0	8,771856414E-2	1,256136169E-2
